Hotel Name,Address,Score,Number of reviews,Price,Room type,Star rating,Room view,Swimming pool,Restaurant,Parking,Wheelchair accessibility
بوابة الريادة,Ar Riḩāb,4.9,26,"SAR 1,690",Economy Single Room,0,yes,no,no,no,no
Boudl Gaber,Riyadh,8.0,0,"SAR 2,025",Standard King Room,0,no,no,no,no,no
JW Inn Hotel,Al Khobar,7.3,379,"SAR 1,000",Classic Suite,0,yes,no,no,no,no
Gladiolus Hotel,"Al Salamah, Jeddah",8.6,752,"SAR 2,306",Superior King Room,4.0,yes,no,no,no,no
Al Makan Al Mosafer 116 Hotel by Al Azmy,Riyadh,5.0,0,SAR 949,Studio,0,no,no,no,no,no
Aman Hotel Suites,Abha,9.2,656,"SAR 1,584",Superior King or Twin Room,4.0,yes,no,no,yes,yes
فندق ضيافة القرية Al Diyafa Hotel,Al Ahsa,7.1,351,"SAR 1,338",Junior Suite,0,no,no,no,no,no
Tu Jardin - Qurtubah- توجاردن قرطبه,Riyadh,7.5,48,"SAR 1,305",Standard Apartment,0,no,no,no,no,no
رام جده للشقق الفندقيه Ram Jeddah,"Qurish Street, Jeddah",7.6,239,"SAR 2,250",Superior Apartment,3.0,yes,no,no,no,no
Abeer Story Hotel Suites,Jeddah,8.0,950,SAR 700,Deluxe King Studio,0,yes,no,no,no,no
Riyadha Home Apartment,Riyadh,8.1,460,"SAR 2,211",Studio,0,yes,no,no,no,no
Hilton Garden Inn Riyadh Financial District,Riyadh,7.8,0,"SAR 3,493",King Room,4.0,no,no,no,no,no
Alreem Village Hotel,Al Jubail,8.6,862,"SAR 2,346",Standard Double Room,5.0,no,no,no,no,no
Jeddah Shadows Hotel,Jeddah,7.4,752,"SAR 7,196",Two-Bedroom Suite,4.0,yes,no,no,no,no
Admire Apart Hotel - 1,Abu Arish,6.4,47,"SAR 1,418",Deluxe Double or Twin Room with City View,0,yes,no,no,no,no
Dalin Hotel,"Al Olaya, Riyadh",6.6,0,"SAR 1,425",Standard Double or Twin Room,0,yes,no,no,no,no
Al Muhaidb Takhasosi Value,"Al Olaya, Riyadh",7.4,0,"SAR 1,350",Studio,0,yes,no,no,no,no
فندق آل متعب سويتس التراثي,Riyadh,7.8,866,"SAR 2,500",Deluxe King Room,3.0,no,no,no,no,no
Mabet Al Tahlia Hotel Apartments,"Al Tahlia Street, Jeddah",7.7,0,"SAR 1,116",Deluxe King Studio,0,yes,no,no,no,yes
Elite Al Hamra - Al Cornich,Jeddah,7.9,0,"SAR 2,560",Two-Bedroom Apartment,0,yes,no,no,no,no
همم للوحدات السكنية - الحمدانية Al Hamdaniya,Jeddah,7.6,88,"SAR 1,260",Deluxe King Room,0,no,no,no,no,no
Tu Jardin - Qurtubah- توجاردن قرطبه,Riyadh,7.5,48,"SAR 1,305",Standard Apartment,0,no,no,no,no,no
رام جده للشقق الفندقيه Ram Jeddah,"Qurish Street, Jeddah",7.6,239,"SAR 2,250",Superior Apartment,3.0,yes,no,no,no,no
Abeer Story Hotel Suites,Jeddah,8.0,950,SAR 700,Deluxe King Studio,0,yes,no,no,no,no
Riyadha Home Apartment,Riyadh,8.1,460,"SAR 2,328",Studio,0,yes,no,no,no,no
مزايا هاوس,Dammam,5.2,0,SAR 495,Budget Double Room,0,no,no,no,no,no
Hilton Garden Inn Riyadh Financial District,Riyadh,7.8,0,"SAR 3,493",King Room,4.0,no,no,no,no,no
Alreem Village Hotel,Al Jubail,8.6,862,"SAR 2,440",Standard Double Room,5.0,no,no,no,no,no
Jeddah Shadows Hotel,Jeddah,7.4,752,"SAR 7,196",Two-Bedroom Suite,4.0,yes,no,no,no,no
Admire Apart Hotel - 1,Abu Arish,6.4,47,"SAR 1,091",Deluxe Double or Twin Room with City View,0,yes,no,no,no,no
Dalin Hotel,"Al Olaya, Riyadh",6.6,0,"SAR 1,425",Standard Double or Twin Room,0,yes,no,no,no,no
بوابة الريادة,Ar Riḩāb,4.9,26,"SAR 1,690",Economy Single Room,0,yes,no,no,no,no
Al Muhaidb Takhasosi Value,"Al Olaya, Riyadh",7.4,0,"SAR 1,350",Studio,0,yes,no,no,no,no
فندق آل متعب سويتس التراثي,Riyadh,7.8,866,"SAR 2,500",Deluxe King Room,3.0,no,no,no,no,no
Mabet Al Tahlia Hotel Apartments,"Al Tahlia Street, Jeddah",7.7,0,"SAR 1,175",Deluxe King Studio,0,yes,no,no,no,yes
Elite Al Hamra - Al Cornich,Jeddah,7.9,0,"SAR 2,560",Two-Bedroom Apartment,0,yes,no,no,no,no
همم للوحدات السكنية - الحمدانية Al Hamdaniya,Jeddah,7.6,88,SAR 833,Deluxe King Room,0,no,no,no,no,no
Msharef almoden hotel فندق مشارف المدن,Jazan,9.0,567,"SAR 1,125",Deluxe Double Room,0,yes,no,no,no,yes
هوتيلتن قرطبه HOTELTEN Qurtubah,Riyadh,8.1,80,"SAR 2,100",Studio,4.0,yes,no,no,no,yes
فندق حور,"Al Hamra, Jeddah",7.5,301,"SAR 3,500",King Room,4.0,yes,no,no,no,no
ال متعب سويتس الإزدهار,Riyadh,7.0,497,"SAR 3,250",Large Double Room,0,yes,no,no,no,yes
Aseel Resort,Riyadh,8.1,151,"SAR 13,295",Deluxe Double Room,5.0,yes,no,no,no,yes
هوليداي بلس قرطبة - Holiday Plus Qurtubah,Riyadh,6.9,517,"SAR 1,568",Executive Suite,0,yes,no,no,no,no
Al Ayniah Hotel,Al Madinah,7.8,0,"SAR 1,800",Double Room,2.0,yes,no,no,no,yes
المواسم الأربعة للوحدات السكنية,Tabuk,8.7,242,"SAR 1,350",Studio,0,no,no,no,yes,no
The Royal One Hotel,"Al Olaya, Riyadh",8.0,75,"SAR 6,000",Superior King Room,5.0,no,no,no,no,no
Hayat Al Riyadh Washam Hotel,Riyadh,8.2,0,"SAR 2,200",Deluxe Double Room,4.0,no,no,no,yes,yes
Doubletree By Hilton Makkah Jabal Omar,Makkah,8.5,0,"SAR 3,805",King Room - Mobility Access,4.0,no,no,yes,no,no
وجهة التميز 2,Jeddah,8.1,297,SAR 939,Budget Double Room,0,no,no,no,yes,no
Seiba Hotel Apartments-Riyadh,"Al Malaz, Riyadh",7.0,0,"SAR 2,100",Superior King Room,0,yes,yes,no,yes,no
BN Residence,"Al Olayya, Al Khobar",9.2,0,"SAR 1,680",Standard King Room,0,no,no,no,no,no
Tu Jardin Al Harmain- تو جاردن الحرمين,Jeddah,8.2,725,"SAR 1,250",Triple Room,3.0,no,no,no,yes,no
Ahlin Suites 5,Riyadh,6.7,124,SAR 900,Deluxe Double Studio,3.0,no,no,no,yes,no
Mena Hotel Tabuk,Tabuk,7.9,923,"SAR 1,683",Deluxe Room,3.0,no,no,no,yes,no
City Center Plaza Aparthotel,Jeddah,6.6,0,"SAR 1,125",Deluxe Double Studio,0,no,no,no,yes,no
Touq Balad,Jeddah,8.2,964,"SAR 1,331",Budget Double Room,3.0,no,no,no,yes,yes
Raoum Inn Buraydah,Buraydah,8.0,920,"SAR 1,064",Deluxe Double Room,0,yes,no,yes,no,no
Park Inn by Radisson Makkah Al Naseem,Makkah,7.8,0,SAR 904,Standard Room,4.0,yes,no,yes,yes,no
Merfal Hotel Apartments Al Taawan مرفال التعاون,Riyadh,6.5,765,"SAR 1,200",Studio,0,no,no,no,yes,no
Boudl Palestine Jeddah,Jeddah,7.5,97,"SAR 1,250",Studio,3.0,no,no,no,yes,no
Palm Boutique Hotel,Jeddah,7.6,496,"SAR 1,733",Double Room,0,no,no,no,no,no
فندق سروات بارك جده Sarwat Park Hotel Jeddah,"Al Shatiea, Jeddah",8.0,350,"SAR 1,836",King Room with Garden View,4.0,no,no,no,yes,no
"Crowne Plaza - Jeddah Al Salam, an IHG Hotel",Jeddah,9.1,0,"SAR 4,752",King Room with Bathtub - Non-Smoking,0,yes,no,yes,no,no
Best Western Plus Fursan,Riyadh,8.1,0,"SAR 1,898",Superior King Room,0,no,no,yes,no,yes
Royal Casablanca,Jeddah,7.2,874,"SAR 1,450",Double or Twin Room,4.0,no,no,yes,no,no
Varvan Al-Jubail,Al Jubail,6.6,865,SAR 875,Studio,0,no,no,no,no,no
Ruve Jeddah Hotel,"Al Tahlia Street, Jeddah",7.8,0,"SAR 1,350",Standard Twin Room,4.0,no,no,yes,no,no
Boudl Al Fayhaa,Riyadh,6.0,0,"SAR 1,330",Standard King Room,0,no,no,no,no,no
Boudl Al Olaya,"Al Olaya, Riyadh",7.9,0,"SAR 2,220",Economy Double Room,0,no,no,no,no,no
Yahalla Hotel Units 2,"Hera Street, Jeddah",6.4,304,"SAR 1,060",Standard Studio,0,no,no,no,no,no
Radisson Blu Hotel Riyadh Qurtuba,Riyadh,8.2,0,"SAR 4,420",Standard Room,5.0,yes,no,yes,no,no
Hilton Garden Inn Al Jubail,Al Jubail,8.1,0,"SAR 1,515",King Room - Mobility Accessible,4.0,yes,no,yes,yes,no
Le Meridien Al Khobar,Al Khobar,8.3,0,"SAR 3,521","Deluxe Room, Sea View, 1 King",5.0,no,no,yes,yes,no
Taleen Al Nakheel Apartment,Riyadh,6.3,385,"SAR 2,500",Studio Apartment,0,no,no,no,no,no
شقق درر رامه للشقق المخدومة 7,Riyadh,5.1,78,"SAR 1,100",Studio Apartment,0,no,no,no,no,no
ميلاس للوحدات المفروشة,Tabuk,8.8,42,"SAR 1,100",Studio,0,no,no,no,no,no
فندق لاجونا ڤيستا بريدة,Buraydah,8.7,167,"SAR 5,495",One-Bedroom Villa,5.0,no,no,no,no,yes
Rahhal Hotel Suites,Yanbu,8.2,364,"SAR 1,410",One-Bedroom Apartment,0,no,no,no,no,yes
"Holiday Inn Riyadh Izdihar, an IHG Hotel",Riyadh,7.4,0,"SAR 2,925",Standard King Room,4.0,no,no,yes,yes,no
TIME Ruba Hotel & Suites,Makkah,8.6,320,SAR 750,Deluxe King Room,5.0,no,no,no,no,yes
هوم للأجنحة الفندقية,Khamis Mushayt,8.4,411,"SAR 1,495",Two-Bedroom Apartment,0,no,no,no,no,no
Dana Hotel & Residences 2,Riyadh,8.6,0,"SAR 2,950",One-Bedroom Suite,0,yes,no,no,no,yes
Arjaan Altakhassusi Hotel Suites,Riyadh,8.5,0,"SAR 1,795",Double Room,0,yes,no,no,yes,no
فندق لوريف,Taif,9.9,287,"SAR 3,745",Deluxe Twin Room,4.0,no,no,no,no,yes
Al Farhan Suites Ishbillia,Riyadh,7.3,0,"SAR 1,499",One-Bedroom Apartment,0,no,no,yes,no,no
Condo Studio Self checkin,Riyadh,8.4,17,"SAR 1,620",Deluxe Studio,0,no,no,no,yes,no
Rose Garden Hotel,Riyadh,6.7,0,"SAR 1,500",Deluxe Room,0,no,no,no,yes,no
روز للشقق الفندقية,Hotat bani tamim,6.1,26,"SAR 1,145",Studio,0,no,no,no,yes,no
Amaken Aparthotel,Al Hofuf,7.9,732,"SAR 1,240",Budget Double Room,0,no,no,no,yes,no
Myrtle Hotel - Al Sahafa,Riyadh,7.5,0,"SAR 3,495",Deluxe King Room,4.0,no,no,no,yes,no
"InterContinental Durrat Al Riyadh Resort & Spa, an IHG Hotel",Riyadh,8.2,482,"SAR 3,792",Classic Room,5.0,yes,no,yes,yes,no
فلورز سويتس,Yanbu,7.8,166,SAR 900,Family Studio,0,no,no,no,yes,no
Burj Alhayah Hotel Suites Alfalah,Riyadh,6.8,795,"SAR 1,300",Deluxe Room,0,no,no,no,yes,yes
Nelover Hotel Hafar,Hafr Al Baten,8.1,265,"SAR 1,450",Studio,0,no,no,no,yes,yes
"Crowne Plaza Riyadh - RDC Hotel & Convention, an IHG Hotel",Riyadh,8.9,0,"SAR 4,373",Standard Room,5.0,yes,no,yes,yes,no
Marvelous Hotel,Tabuk,9.5,194,"SAR 1,820",Twin Room with Shared Toilet,3.0,no,no,no,yes,yes
Yar Furnished Apartments,Jazan,6.9,404,"SAR 3,275",Villa with Private Pool,3.0,no,no,no,no,no
Boudl Al Corniche,Dammam,8.7,0,"SAR 1,250",Standard King Room,0,no,yes,no,no,no
ال متعب سويتس خريص,Riyadh,5.2,214,"SAR 3,000",Deluxe King Room,3.0,no,no,no,no,no
Four Seasons Hotel Riyadh,"Al Olaya, Riyadh",8.8,0,"SAR 11,688",Superior Room with King Bed,5.0,no,yes,yes,no,no
قصر اليمامة للشقق المخدومة Al Yamama Palace Serviced Apartments,Yanbu,6.6,356,"SAR 1,080",Studio Apartment,0,no,no,no,no,no
Rio Hotel Olaya,"Al Olaya, Riyadh",8.0,862,"SAR 3,375",Standard King Room,4.0,no,yes,yes,no,no
Hyatt House Jeddah Sari Street,"Al Salamah, Jeddah",8.3,0,"SAR 2,731",King Studio with Sofa Bed,4.0,no,no,no,yes,no
Radisson Blu Plaza Jeddah,Jeddah,8.2,0,"SAR 1,750",Standard Room,4.0,yes,no,no,yes,no
Best Trip Serviced Apartments,Jeddah,8.1,0,"SAR 1,232",One-Bedroom Apartment,0,no,no,no,yes,no
Voyage Apartments,"Al Sulimania, Riyadh",8.1,0,"SAR 2,218",Executive Suite,0,no,no,no,no,no
Al Taif Gate Hotel Suites,Taif,7.4,0,"SAR 1,890",One-Bedroom Apartment,0,no,no,yes,yes,no
Casablanca Grand Hotel,Jeddah,9.2,0,"SAR 3,563",Twin Room,5.0,no,no,no,no,no
"Radisson Blu Hotel, Jeddah Al Salam","Al Salamah, Jeddah",8.8,0,"SAR 2,763",Standard Room,5.0,yes,no,no,yes,no
Hotel Zayara,"Al Olaya, Riyadh",6.6,717,"SAR 5,750",Family Studio,0,yes,no,no,no,no
DoubleTree by Hilton Hotel Riyadh - Al Muroj Business Gate,Riyadh,7.2,0,"SAR 3,472",King Room - Mobility Access,4.0,no,no,no,yes,no
"Dar Al Tawhid Intercontinental Makkah, an IHG Hotel",Makkah,8.8,0,"SAR 7,641",Standard Room,5.0,yes,no,no,no,no
Aster Hotel,"Al Hamra, Jeddah",7.5,0,"SAR 1,733",Standard Room,4.0,yes,no,yes,yes,no
"Holiday Inn Al Khobar - Corniche, an IHG Hotel","Al Yarmouk, Al Khobar",7.2,0,"SAR 1,580",Standard King Room - Smoking,4.0,yes,no,no,yes,no
Courtyard by Marriott Jazan,Jazan,8.5,697,"SAR 2,250",Deluxe King Room,4.0,no,no,no,yes,no
Sokon Ladn Hotel,Riyadh,7.2,6,"SAR 1,500",Twin Room with Balcony,4.0,no,no,no,no,no
Renee Suites,"Sari Street, Jeddah",8.7,9,"SAR 5,000",King Suite,3.0,yes,no,yes,no,no
شقق درر رامه للشقق المخدومة 6,Riyadh,6.4,161,"SAR 2,000",Two-Bedroom Apartment,0,yes,no,no,no,no
Rokn Al Omor Apartments by Quiet Rooms,Riyadh,5.4,726,"SAR 1,000",Studio,0,no,no,no,no,no
Quiet Dreams - Al Noor Branch,"South Obhr, Jeddah",9.1,81,"SAR 1,748",Studio,0,no,no,no,no,no
Lotaz Hotel Suites - Al Salamah,"Al Salamah, Jeddah",9.1,710,"SAR 3,046",One-Bedroom Suite,0,yes,no,no,yes,yes
فندق سافوي جدة Savoye Hotel,Jeddah,8.9,134,"SAR 1,875",Double Room,3.0,yes,yes,yes,no,no
Novotel Jeddah Tahlia,"Al Andalus, Jeddah",7.6,0,"SAR 1,596",Superior Double Room with Sofa Bed,4.0,yes,no,no,yes,no
Al Azmy Al Ared Hotel,Riyadh,3.7,255,SAR 800,Double Room,0,no,no,no,no,no
M Hotel Al Dana Makkah by Millennium,Makkah,7.9,0,SAR 834,Standard Double Room,4.0,yes,no,yes,no,no
Al Taif Gate Hotel Suites,Taif,7.4,0,"SAR 1,890",One-Bedroom Apartment,0,no,no,yes,yes,no
Residence Inn by Marriott Dammam,Dammam,9.0,0,"SAR 3,000",King Studio with City View,4.0,yes,no,no,no,yes
ستاى ان غرف واجنحه فندقيه Stay Inn Suites,"Al Salamah, Jeddah",6.4,152,"SAR 2,250",Economy Double Room,0,yes,no,no,no,no
Sama Al Qasr - Khurais,Riyadh,7.1,992,"SAR 1,250",Double Room,0,no,no,yes,no,no
Sama Residence,"Al Olayya, Al Khobar",8.0,278,"SAR 1,100",Deluxe Studio,0,no,no,no,no,no
Rafa,Riyadh,7.2,0,"SAR 1,944",Deluxe Room (2 Adults + 1 Child),0,yes,no,no,no,no
شقق الورود بارك,Al Mikhlaf,7.981994047619047,0,"SAR 1,425",One-Bedroom Apartment,0,yes,no,no,yes,no
Ramada Encore Al Khobar Corniche- رمادا أنكور الخبر كورنيش,Al Khobar,8.5,246,"SAR 1,900",King Room - Smoking,4.0,no,no,no,no,no
Dorar Darea Hotel Apartments - Al Nafl,Riyadh,7.2,563,"SAR 1,782",Double Room,0,no,no,no,no,no
OYO 401 Al Zaidan For Furnished Units,Buraydah,6.0,224,SAR 654,Standard Studio Twin,0,no,no,no,no,no
Courtyard by Marriott Jubail,Al Jubail,8.6,94,"SAR 1,738",King Room with City View,4.0,no,no,no,no,yes
La Fontaine Jeddah Hotel,Jeddah,7.3,0,"SAR 1,395",Deluxe Double Room,3.0,no,no,yes,no,no
Y Platinum Hotel,Al Madinah,8.1,245,"SAR 2,600",Standard Double or Twin Room,0,no,no,no,no,no
Kyona Purple - Al Qurayat,Jeddah,7.8,0,"SAR 1,215",Studio,2.0,no,no,no,no,no
فنـــــــــدق ايليفــــــــــــار Elevar Hotel,Al Khobar,8.5,63,"SAR 1,495",Queen Room with Sea View,4.0,no,no,no,no,no
Crown Rose AlSahafa Hotel,Riyadh,7.4,0,"SAR 3,425",Superior King Room,4.0,no,yes,yes,no,no
Mövenpick Hotel Jeddah,Jeddah,7.6,0,"SAR 1,955",Classic King Room,4.0,yes,no,no,no,yes
Novotel Dammam Business Park,Dammam,7.3,0,"SAR 1,228",Standard Double Room,4.0,yes,no,no,no,yes
Rest Night Hotel Apartment- AlHamra,"Al Hamra, Riyadh",7.5,0,"SAR 1,475",Single Room,0,no,yes,no,no,no
Radisson Hotel & Apartments Dammam Industry City,Dammam,7.9,0,"SAR 1,585",Standard Room,4.0,no,yes,yes,no,no
Traveller Inn Hotel Appartments,"Al Olayya, Al Khobar",7.4,0,"SAR 1,134",Deluxe Double Room,0,yes,no,no,no,yes
Ewaa Express Hotel - Al Jouf,Sakakah,8.9,752,"SAR 1,485",Standard Double Room,3.0,no,no,yes,yes,no
Our Habitas AlUla,AlUla,9.3,928,"SAR 7,338",Canyon Villa,5.0,no,yes,yes,no,no
Al Farhan Hotel & Suites Hafr Al Batin,Abū Qa‘ar,8.1,572,SAR 630,Deluxe Family Room,3.0,yes,no,yes,yes,no
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic City,8.2,0,"SAR 4,000",Standard Double Room,5.0,yes,yes,yes,yes,yes
Marina Arar Furnished Apartments,Arar,8.6,0,SAR 925,One-Bedroom Apartment with Living Room,0,no,no,no,yes,no
Karims Hotel,Al Majmaah,8.0,204,"SAR 1,527",Deluxe Twin Room,2.0,yes,no,no,yes,yes
Novotel Jazan,Jazan,8.7,0,"SAR 1,740",Standard Double Room,5.0,yes,yes,yes,yes,yes
Best Western Plus Al Qurayyat City Center,Al Qurayyat,8.7,231,"SAR 1,853",Superior King Room - Non-Smoking,4.0,yes,yes,yes,no,no
Views Hotel & Residences,King Abdullah Economic City,8.5,0,"SAR 4,055",Studio with Courtyard View,0,yes,no,yes,yes,no
Raoum Inn Majmaa,Al Majmaah,6.4,486,SAR 851,Junior Suite,0,no,no,no,yes,no
Golden Bujari Bisha جولدن بوجاري بيشة,Qal'at Bishah,8.6,376,"SAR 1,995",Junior Suite,4.0,yes,no,no,yes,yes
Boudl Majmaa,Al Majmaah,8.1,700,"SAR 1,236",Standard Room With King Bed,0,no,yes,yes,yes,no
Grand Millennium Gizan,Jazan,8.2,0,"SAR 2,600",Deluxe King Bed Room - Non Sea View,5.0,yes,yes,yes,yes,yes
Raoum Inn Khafji Southern,Al Khafji,6.0,798,SAR 723,Superior Double Room,0,no,no,no,yes,no
فندق ادوماتو ADOMATo HOTEl,Dawmat al Jandal,8.0,103,"SAR 1,100",One-Bedroom Suite,2.0,no,yes,yes,yes,yes
Raoum Inn Sakaka,Sakakah,7.7,457,"SAR 1,064",Superior Double Room,0,no,no,yes,yes,no
Mirada Gold Jizan - Resort & Private Pools,Jazan,8.4,0,SAR 983,One-Bedroom Villa,5.0,no,no,no,yes,yes
Waves Hotel,Umm Lajj,9.4,860,"SAR 4,400",King Room with Mountain View,5.0,yes,yes,yes,yes,yes
إطلالة الواحة للوحدات السكنية المخدومة,Al Majmaah,8.1,342,SAR 894,Studio,0,yes,no,no,yes,yes
Boudl Mahayel Aseer,Muhayil,8.1,967,"SAR 1,275",Standard Double Room,0,yes,yes,no,yes,no
Raoum Inn Khafji Corniche,Al Khafji,8.3,352,"SAR 1,489",Double or Twin Room with Side Sea View,0,yes,yes,yes,yes,yes
Ramada Hotel & Suites by Wyndham Al Qassim,Al Bukayriyah,8.9,0,"SAR 1,743",King Room - Smoking,5.0,yes,yes,yes,yes,yes
Makarim Palm Hotel,Rabigh,6.9,240,"SAR 1,013",One-Bedroom Apartment,0,yes,no,no,yes,no
Malfa Hotel Apartments,Qal'at Bishah,8.1,823,"SAR 1,250",Twin Room with Private Bathroom,0,yes,no,no,yes,yes
Intour Al Khafji Hotel,Al Khafji,7.7,474,"SAR 1,465",Deluxe  Room,4.0,no,no,yes,yes,no
